Konzept-Nr.;Schritt-Nr.;K;AE;AM
mip-K-1;mip-K-1-1;K-RP;AE-RO;AM-S
mip-K-1;mip-K-1-2;K-RP;AE-RO;AM-I
mip-K-1;mip-K-1-3;K-RP;AE-RO;AM-S
mip-K-1;mip-K-1-4;K-RP;AE-RO;AM-I
mip-K-1;mip-K-1-5;K-RP;AE-RO;AM-I
mip-K-1;mip-K-1-6;K-RP;AE-RO;AM-I
mip-K-1;mip-K-1-7;K-RP;AE-RO;AM-I
mip-K-1;mip-K-1-8;K-RP;AE-RO;AM-I
mip-K-1;mip-K-1-9;K-RP;AE-RO;AM-S
mip-K-2;mip-K-2-1;-;-;AM-LN
mip-K-2;mip-K-2-2;K-RP;AE-RO;AM-I
mip-K-2;mip-K-2-3;K-RP;AE-RO;AM-LN
mip-K-2;mip-K-2-4;K-RB;AE-PO;AM-BE
mip-K-2;mip-K-2-5;K-RB;AE-PO;AM-I
mip-K-2;mip-K-2-6;K-RP;AE-RO;AM-LN
mip-K-2;mip-K-2-7;K-RP;AE-RO;AM-I
mip-K-2;mip-K-2-8;K-RB, K-RP;AE-PO, AE-RO;AM-I
mip-K-3;mip-K-3-1;K-RB;AE-PO;AM-I
mip-K-3;mip-K-3-2;K-RP;AE-RO;AM-S
mip-K-3;mip-K-3-3;K-RP;AE-RO;AM-S, AM-B
mip-K-3;mip-K-3-4;K-RP;AE-RO;AM-S
mip-K-3;mip-K-3-5;K-RP;AE-RO;AM-I
mip-K-4;mip-K-4-1;-;AE-KO;AM-K
mip-K-4;mip-K-4-2;-;AE-KO;AM-K
mip-K-4;mip-K-4-3;K-RF;AE-KO;AM-K
mip-K-4;mip-K-4-4;K-RP;AE-RO;AM-K
mip-K-4;mip-K-4-5;K-RP;AE-RO;AM-HB
mip-K-4;mip-K-4-6;K-RP;AE-KO;AM-K
mip-K-4;mip-K-4-7;K-RP;AE-RO;AM-S
mip-K-4;mip-K-4-8;K-RP;AE-RO;AM-HB
mip-K-4;mip-K-4-9;K-RP;AE-RO;AM-K
mip-K-4;mip-K-4-10;K-RP;AE-KO;AM-K
mip-K-4;mip-K-4-11;K-RB;AE-KO;AM-K
mip-K-4;mip-K-4-12;K-RB;AE-PO;AM-S, AM-I
mip-K-5;mip-K-5-1;K-RP;AE-RO;AM-I
mip-K-5;mip-K-5-2;K-RP;AE-RO;AM-I
mip-K-5;mip-K-5-3;K-RP;AE-RO;AM-I
mip-K-5;mip-K-5-4;K-RP;AE-RO;AM-I
mip-K-5;mip-K-5-5;K-RP;AE-RO;AM-I
mip-K-6;mip-K-6-1;K-RF;AE-KO;AM-K
mip-K-6;mip-K-6-2;K-RP;AE-KO;AM-K
mip-K-6;mip-K-6-3;K-RP;AE-RO;AM-S
mip-K-6;mip-K-6-4;K-RB;AE-PO;AM-B
mip-K-6;mip-K-6-5;K-RB;AE-PO;AM-B, AM-S, AM-I
mip-K-7;mip-K-7-1;K-RP;AE-RO;AM-HB
mip-K-7;mip-K-7-2;K-RP;AE-RO;AM-B
mip-K-7;mip-K-7-3;K-RP;AE-RO;AM-B
mip-K-7;mip-K-7-4;K-RP;AE-RO;AM-HB
mip-K-7;mip-K-7-5;K-RP;AE-RO;AM-B
mip-K-7;mip-K-7-6;K-RP;AE-RO;AM-B
mip-K-7;mip-K-7-7;K-RP;AE-RO;AM-B
mip-K-7;mip-K-7-8;K-RP;AE-RO;AM-B
mip-K-7;mip-K-7-9;K-RP;AE-RO;AM-B
mip-K-8;mip-K-8-1;K-RP;AE-RO;AM-S
mip-K-8;mip-K-8-2;K-RP;AE-RO;AM-I
mip-K-8;mip-K-8-3;K-RP;AE-RO;AM-I
mip-K-8;mip-K-8-4;K-RP;AE-RO;AM-I
mip-K-8;mip-K-8-5;K-RP;AE-RO;AM-S, AM-I
mip-K-9;mip-K-9-1;K-RP;AE-RO;AM-HB
